2025-12-05 08:00:04.328 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 13 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('002834', '华夏新锦绣灵活配置混合C', 2025-11-05, 3.0200, 0.64, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-06, 3.0271, 0.24, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-07, 3.0206, -0.21, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-10, 3.0432, 0.75, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-11, 3.0503, 0.23, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-12, 3.0488, -0.05, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-13, 3.0807, 1.05, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-14, 3.0842, 0.11, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-17, 3.0844, 0.01, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-18, 3.0637, -0.67, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-19, 3.0243, -1.29, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-20, 3.0114, -0.43, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-21, 2.9142, -3.23, NO...
2025-12-05 08:00:04.329 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=002834, count=43
2025-12-05 08:00:04.329 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 002834 - 华夏新锦绣灵活配置混合C, 更新记录数: 43
2025-12-05 08:00:04.329 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 002834 - 华夏新锦绣灵活配置混合C
2025-12-05 08:00:04.329 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 002834
2025-12-05 08:00:04.333 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 3 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '002834' ORDER BY nav_date DESC LIMIT 5
2025-12-05 08:00:04.333 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 002834 - 华夏新锦绣灵活配置混合C
2025-12-05 08:00:04.333 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 012920 - 易方达全球成长精选混合
2025-12-05 08:00:04.334 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=012920, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:04.335 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=012920, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:04.618 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=012920, count=21
2025-12-05 08:00:04.637 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 10 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('012920', '易方达全球成长精选混合', 2025-11-05, 2.4820, 1.92, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-06, 2.4801, -0.08, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-07, 2.4676, -0.50, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-10, 2.5229, 2.19, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-11, 2.4857, -1.50, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-12, 2.4924, 0.27, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-13, 2.4424, -2.05, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-14, 2.4191, -0.96, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-17, 2.4147, -0.18, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-18, 2.3784, -1.53, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-19, 2.4058, 1.14, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-20, 2.3514, -2.31, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-21, 2.3142, -1.61, NOW(), NOW()...
2025-12-05 08:00:04.637 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=012920, count=41
2025-12-05 08:00:04.638 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 012920 - 易方达全球成长精选混合, 更新记录数: 41
2025-12-05 08:00:04.638 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 012920 - 易方达全球成长精选混合
2025-12-05 08:00:04.638 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 012920
